f_FCR,f_aFRR,f_mFRR,f_RR,quartile_trip,EA_trip
-0.5,-0.5,0.0,0.0,0.0,0.0
-0.6258709937353034,-0.3639271677128434,-0.1521999311867781,-0.0966957883171731,0.5,52.33072916666666
-0.7057017306244341,-0.4257090866890465,-0.167407468108736,-0.1048410160236914,0.5,47.99869791666666
-0.7691996677297412,-0.4605253165644054,-0.1828035940621059,-0.1116633001970072,0.5,56.99609375
-0.9267262681122584,-0.5691190919239297,-0.2142462939622403,-0.13014905867815,0.5,54.013020833333336
-0.6983178324318424,-0.4080779753451614,-0.1706982001786507,-0.1094635613321857,0.5,60.606770833333336
-0.8993075243512817,-0.5553664001303307,-0.2067526206211315,-0.1254305763753437,0.5,58.78515625
-0.3690844132431915,-0.2224761793691404,-0.0890229260774865,-0.0562991815705688,0.5,36.19140625
-0.6865002328927485,-0.4062043084191736,-0.1652700759950599,-0.1017772963632585,0.5,53.67447916666666
-0.8381145927081157,-0.50943779972756,-0.1979072456749546,-0.1233491122402378,0.5,73.44661458333333
-0.4421767268029736,-0.2585242446285387,-0.10962779185014587,-0.07252026055164779,0.5,64.0703125
-1.001129791877439,-0.6228477660498654,-0.2268952141156837,-0.13627309723203007,0.5,38.944010416666664
-0.7518165830167753,-0.43593724634272857,-0.1807994106991504,-0.11191769865214884,0.5,18.432291666666668
-0.7116913051266329,-0.49001673608294755,-0.14105524633255345,-0.08495029484188032,0.5,88.73307291666667
-0.7357691310570121,-0.43273246656450215,-0.17723398066732077,-0.11061309273272601,0.5,30.0625
-0.7620905849642893,-0.46945257449080735,-0.17582642396916182,-0.10549193425676417,0.5,54.48828125
-0.9232692441380992,-0.5945646799096505,-0.19886036210002256,-0.11604959238582968,0.5,35.41015625
-0.5593972769999265,-0.3271560017617654,-0.13811912959789563,-0.0888397768140955,0.5,89.63541666666667
-0.8920120498837965,-0.5317615695220381,-0.21338572585630322,-0.13350663475536684,0.5,44.78125
-0.5627979877515578,-0.3449005762160309,-0.13292538744593957,-0.08306869080112206,0.5,70.54036458333333
